wavelength_nm,c5,c4,c3,c2,c1,c0
7.866139682141599678e+02,-1.377652124236397574e-11,1.127774479825451806e-08,-4.646750161942057415e-06,9.557361003801901614e-04,-2.948848891675829101e-02,1.862637514434628105e+00
7.868034195202600358e+02,1.665358736651334908e-11,-7.967427535863232804e-09,-3.993337007003056034e-07,5.724301508518623259e-04,-1.664284753318452659e-02,1.778850202677631609e+00
7.869928541510399782e+02,2.341916480936377590e-11,-1.240013430249229683e-08,6.206347332823116702e-07,4.770610325999094037e-04,-1.362159327295040315e-02,1.749406456763201501e+00
7.871822721064999087e+02,7.481895830106271012e-12,-2.355357359868676649e-09,-1.632470625773201847e-06,6.936256123264705753e-04,-2.204212162183659743e-02,1.823992939494905041e+00
7.873716733866400546e+02,-1.097721946061681433e-11,9.527079502656082315e-09,-4.279431768095275212e-06,9.298259043841885325e-04,-2.959080421830185062e-02,1.870534423427570703e+00
7.875610579914599612e+02,-8.306960899653408791e-13,2.783646030226403360e-09,-2.668910214384043861e-06,7.638647778897975560e-04,-2.312335249708093524e-02,1.848461919495176797e+00
7.877504259209599695e+02,1.592460332459436375e-11,-7.349086186515945543e-09,-6.258969308065286725e-07,6.129746164882882240e-04,-2.135803251826415283e-02,1.992612058235285533e+00
7.879397771751399659e+02,1.347643642241954004e-13,2.981229447493585134e-09,-3.031245039340182717e-06,8.500071287916183835e-04,-3.010493093138991855e-02,2.046176857905364077e+00
7.881291117540000641e+02,-3.593101377807511678e-12,6.453874062748631487e-09,-4.085987634828606767e-06,9.782391094648637108e-04,-3.515871056650551191e-02,2.021943314217848009e+00
7.883184296575399230e+02,4.477559285886807721e-12,1.853053979901955805e-09,-3.233266654004195757e-06,9.232601477827703622e-04,-3.396154648676592142e-02,1.959257879752543730e+00
